,Publisher,Published,Total Citations,Average Citations,Top 3 Papers
953,Springer-Verlag France,5,59.0,11.8,"1. Anatomical variations of anterior ethmoidal artery and their significance in endoscopic sinus surgery: a systematic review (20.0 cites)
2. Evaluation of FOCEI and SAEM Estimation Methods in Population Pharmacokinetic Analysis Using NONMEM ® Across Rich, Medium, and Sparse Sampling Data (13.0 cites)
3. Classification of unusual insertion of the pectoralis minor muscle (10.0 cites)"
949,"Springer Science and Business Media, LLC",4,58.0,14.5,"1. Measurement of exclusive Υ photoproduction from protons in p Pb collisions at √sNN=5.02TeV (40.0 cites)
2. Variation in the Protein Composition and Biological Activity of King Cobra (Ophiophagus hannah) Venoms (8.0 cites)
3. Chemical Constituents of the Stems of Spatholobus parviflorus and Their Cholinesterase Inhibitory Activity (8.0 cites)"
593,Kasetsart University,38,58.0,1.5263157894736843,"1. Effects of Facebook usage on English learning behavior of Thai English teachers (17.0 cites)
2. Identifying factors affecting the success of rail infrastructure development projects contributing to a logistics platform: A Thailand case study (12.0 cites)
3. An innovation model of alumni relationship management: Alumni segmentation analysis (9.0 cites)"
382,Future Medicine Ltd.,12,58.0,4.833333333333333,"1. Alu siRNA to increase Alu element methylation and prevent DNA damage (30.0 cites)
2. CYP2D6 genotype analysis of a Thai population: Platform comparison (11.0 cites)
3. Is global hypomethylation a nidus for molecular pathogenesis of age-related noncommunicable diseases? (8.0 cites)"
922,Society for Neuroscience,3,57.0,19.0,"1. The pathophysiology of dystonic tremors and comparison with essential tremor (29.0 cites)
2. Dissecting the tectal output channels for orienting and defense responses (24.0 cites)
3. Multivariate analysis of BOLD activation patterns recovers graded depth representations in human visual and parietal cortex (4.0 cites)"
313,Elsevier (Singapore) Pte Ltd,7,57.0,8.142857142857142,"1. Anti-adipogenic effect of flavonoids from Chromolaena odorata leaves in 3T3-L1 adipocytes (17.0 cites)
2. Cytotoxic activity of the chemical constituents of Clerodendrum indicum and Clerodendrum villosum roots (13.0 cites)
3. Flavonoids kaempferide and 4,2′-dihydroxy-4′,5′,6′-trimethoxychalcone inhibit mitotic clonal expansion and induce apoptosis during the early phase of adipogenesis in 3T3-L1 cells (11.0 cites)"
218,Chiang Mai University,58,56.0,0.9655172413793104,"1. Biodiesel production from canola oil and methanol using ba impregnated calcium oxide with microwave irradiation-assistance (9.0 cites)
2. Grammatophyllum speciosum extract potentiates stemness in keratinocyte cells (7.0 cites)
3. Indigenous saccharomyces cerevisiae strains from coconut inflorescence sap: Characterization and use in coconut wine fermentation (4.0 cites)"
623,Korean Fiber Society,3,56.0,18.666666666666668,"1. Preparation of Cu-BTC/PVA Fibers with Antibacterial Applications (45.0 cites)
2. Preparation and Properties of Poly(lactic Acid)/PLA-g-ABS Blends (11.0 cites)
3. Silkworm Protein-Hydroxyapatite Blend Films for Tissue Engineering Applications (0.0 cites)"
985,Thai Society of Higher Eduation Institutes on Environment,27,56.0,2.074074074074074,"1. The leaching potential of pesticides in Song Phi Nong district, Suphan Buri province, Thailand (8.0 cites)
2. Effects of overcrowded traffic and road construction activities in bangkok on PM2.5, PM10 and heavy metal composition (7.0 cites)
3. Decolorization of reactive black 5 from synthetic dye wastewater by fenton process (6.0 cites)"
937,Springer Berlin Heidelberg,5,55.0,11.0,"1. Low cost and easy rice husk modification to efficiently enhance ammonium and nitrate adsorption (32.0 cites)
2. Cumulative radiation exposure and estimated lifetime cancer risk in multiple-injury adult patients undergoing repeated or multiple CTs (20.0 cites)
3. New application of dynamic magnetic resonance imaging for the assessment of deglutitive tongue movement (3.0 cites)"
197,Canadian Science Publishing,5,53.0,10.6,"1. Database establishment for the secondary fungal DNA barcode translational elongation factor 1α (TEF1α) (31.0 cites)
2. Shearing behaviour of vegetated soils with growing and decaying roots (8.0 cites)
3. DNA barcoding of species of Bacopa coupled with high-resolution melting analysis (6.0 cites)"
996,The Korean Society of Nephrology,1,52.0,52.0,1. Common viral infections in kidney transplant recipients (52.0 cites)
785,Palgrave Macmillan Ltd.,3,52.0,17.333333333333332,"1. A simple method for measuring inequality (42.0 cites)
2. Hotel daily demand forecasting for high-frequency and complex seasonality data: a case study in Thailand (9.0 cites)
3. Optimal overbooking model for car rental business with two levels of prices having stochastic joint booking and show-up levels (1.0 cites)"
774,Open Science Publishers LLP Inc.,11,51.0,4.636363636363637,"1. Diversity of yeasts and their ethanol production at high temperature (16.0 cites)
2. Molecular identification, L-lactic acid production, and antibacterial activity of Bacillus strains isolated from soils (9.0 cites)
3. Bile salt hydrolase activity and cholesterol assimilation of lactic acid bacteria isolated from flowers (8.0 cites)"
275,Diponegoro University,12,51.0,4.25,"1. Influence of phosphoric acid modification on catalytic properties of Al2O3 catalysts for dehydration of ethanol to diethyl ether (14.0 cites)
2. Ethanol dehydrogenation to acetaldehyde over activated carbons-derived from coffee residue (9.0 cites)
3. Continuous production of biodiesel from rubber seed oil using a packed bed reactor with BaCl2 impregnated CaO as catalyst (7.0 cites)"
698,Malaysian Orthopaedic Association,3,50.0,16.666666666666668,"1. Comparison of adductor canal block versus local infiltration analgesia on postoperative pain and functional outcome after total knee arthroplasty: A randomized controlled trial (35.0 cites)
2. Factors related to early recurrence of idiopathic clubfoot post the ponseti method (14.0 cites)
3. Relative telomere length in blood leukocytes of patients with anterior cruciate ligament injury: A pilot study (1.0 cites)"
244,Cogent OA,8,49.0,6.125,"1. Key performance indicators of sustainable port: Case study of the eastern economic corridor in Thailand (18.0 cites)
2. Understanding rural Chinese consumers’ behavior: A stimulus–organism–response (S-O-R) perspective on Huawei’s brand loyalty in China (17.0 cites)
3. The effects of live streaming attributes on consumer trust and shopping intentions for fashion clothing (9.0 cites)"
1074,Walter de Gruyter GmbH,19,49.0,2.5789473684210527,"1. Preparation of anhydrite from eggshell via pyrolysis (12.0 cites)
2. GARCH(1,1) model of the financial market with the minkowski metric (7.0 cites)
3. Cross-linguistic evidence for cognitive universals in the noun phrase (7.0 cites)"
123,Association for Computational Linguistics (ACL),14,49.0,3.5,"1. Rational LAMOL: A rationale-based lifelong learning framework (11.0 cites)
2. Domain adaptation of Thai word segmentation models using stacked ensemble (10.0 cites)
3. Syllablebased Neural Thai Word Segmentation (9.0 cites)"
82,American Society for Clinical Investigation,2,49.0,24.5,"1. Cathepsin K–deficient osteocytes prevent lactation-induced bone loss and parathyroid hormone suppression (45.0 cites)
2. Anti-HIV antibody development up to 1 year after antiretroviral therapy initiation in acute HIV infection (4.0 cites)"
157,Belitung Raya Publisher - Belitung Raya Foundation,21,49.0,2.3333333333333335,"1. Establishing appropriate sample size for developing and validating a questionnaire in nursing research (15.0 cites)
2. One year of the COVID-19 pandemic: Nursing research priorities for the new normal era (11.0 cites)
3. Sustaining e-caring leadership in a post-pandemic world (5.0 cites)"
259,Current Medicine Group LLC 1,3,48.0,16.0,"1. Osteitis in Chronic Rhinosinusitis (23.0 cites)
2. Endotypes of Chronic Rhinosinusitis Across Ancestry and Geographic Regions (14.0 cites)
3. Skin Barrier Function and Atopic Dermatitis (11.0 cites)"
551,JMIR Publications Inc.,12,48.0,4.0,"1. Brain exercising games with consumer-grade single-channel electroencephalogram neurofeedback: Pre-post intervention study (8.0 cites)
2. Human-Centered Design of Mobile Health Apps for Older Adults: Systematic Review and Narrative Synthesis (8.0 cites)
3. Optimizing an mHealth Intervention to Improve Uptake and Adherence to HIV Pre-exposure Prophylaxis in Young Transgender Women: Protocol for a Multi-Phase Trial (7.0 cites)"
328,Elsevier USA,5,48.0,9.6,"1. Positive impact of lockdown on COVID-19 outbreak in Thailand (35.0 cites)
2. Prevalence of Antibody against Angiotensin II Type 1 Receptor (AT1R) Among Thai Kidney Transplant Patients (6.0 cites)
3. Peritransition Outcomes of Southeast Asian Adolescents and Young Adults With HIV Transferring From Pediatric to Adult Care (5.0 cites)"
875,Sage Publications India Pvt. Ltd,9,47.0,5.222222222222222,"1. Regulation Multiple: Pharmaceutical Trajectories and Modes of Control in the ASEAN (17.0 cites)
2. Impact of Green Supply Chain Management Practices on Employee Engagement and Organizational Commitment: Mediating Role of Firm Performance (8.0 cites)
3. Barriers and Factors Affecting E-commerce Utilization of Thai Small and Medium-Sized Enterprises in Food and Beverage and Retail Services (8.0 cites)"
280,Dr. Dietrich Steinkopff Verlag GmbH and Co. KG,1,47.0,47.0,1. Defining spasticity: a new approach considering current movement disorders terminology and botulinum toxin therapy (47.0 cites)
963,Taiwan Geotechnical Society,3,47.0,15.666666666666666,"1. Numerical modelling of railway embankments for high-speed train constructed on soft soil (20.0 cites)
2. STRUCTURAL MODELLING IN FINITE ELEMENT ANALYSIS OF DEEP EXCAVATION (18.0 cites)
3. Exact stiffness method for multi-layered saturated soils under moving dynamic loads (9.0 cites)"
684,MDPI Multidisciplinary Digital Publishing Institute,4,47.0,11.75,"1. Influence of clitoria ternatea flower extract on the in vitro enzymatic digestibility of starch and its application in bread (24.0 cites)
2. Physicochemical properties of Hom Nil (Oryza sativa) rice flour as gluten free ingredient in bread (20.0 cites)
3. Near-horizon geodesics for astrophysical and idealised black holes: Coordinate velocity and coordinate acceleration (2.0 cites)"
148,Bailliere Tindall Ltd,3,47.0,15.666666666666666,"1. Monoclonal antibodies in multiple myeloma: Current and emerging targets and mechanisms of action (26.0 cites)
2. Blood glucose, amino acid profiles and nutrient transporter gene expressions in the small intestine of low and normal birthweight piglets during the early suckling period (11.0 cites)
3. Therapeutic drug monitoring of immunosuppressive drugs in hepatology and gastroenterology (10.0 cites)"
256,Copernicus Publications,2,46.0,23.0,"1. Global transpiration data from sap flow measurements: The SAPFLUXNET database (46.0 cites)
2. Changes in the distribution of annual maximum temperatures in Europe (0.0 cites)"
614,Korean Academy of Rehabilitation Medicine,2,46.0,23.0,"1. Effects of breathing exercises in patients with chronic obstructive pulmonary disease: Systematic review and meta-analysis (35.0 cites)
2. Effects of different modes of upper limb training in individuals with chronic obstructive pulmonary disease: A systematic review and meta-analysis (11.0 cites)"
444,IOS Press BV,18,45.0,2.5,"1. Cleistocalyx nervosum var. paniala seed extracts exhibit sigma-1 antagonist sensitive neuroprotective effects in PC12 cells and protects C. elegans from stress via the SKN-1/NRF-2 pathway (9.0 cites)
2. Higher platelet distribution width is associated with unfavorable prognosis in ovarian cancer (8.0 cites)
3. The Tryptophan Catabolite or Kynurenine Pathway in Alzheimer's Disease: A Systematic Review and Meta-Analysis (7.0 cites)"
528,International Research and Training Center on Erosion and Sedimentation and China Water and Power Press,2,44.0,22.0,"1. Factor influencing land degradation sensitivity and desertification in a drought prone watershed in Thailand (24.0 cites)
2. Biochar derived from agricultural wastes and wood residues for sustainable agricultural and environmental applications (20.0 cites)"
252,Company of Biologists Ltd,5,44.0,8.8,"1. Loss of CAMSAP3 promotes EMT via the modification of microtubule–Akt machinery (22.0 cites)
2. Changes in free amino acid concentrations and associated gene expression profiles in the abdominal muscle of kuruma shrimp (Marsupenaeus japonicus) acclimated at different salinities (12.0 cites)
3. Human asparagine synthetase associates with the mitotic spindle (6.0 cites)"
1038,University of Dicle,16,43.0,2.6875,"1. Applications of PEEK in implant retained finger prosthesis (11.0 cites)
2. The Effect of Curing Mode in Universal Adhesive on Zirconia and Resin Cement Shear Bond Strength (7.0 cites)
3. Effect of different types of silane coupling agents on the shear bond strength between lithium disilicate glass ceramic and resin cement (7.0 cites)"
665,Korean Society of Toxicology,3,43.0,14.333333333333334,"1. α-mangostin and apigenin induced cell cycle arrest and programmed cell death in SKOV-3 ovarian cancer cells (25.0 cites)
2. Molecular and morphological evidence of hepatotoxicity after silver nanoparticle exposure: A systematic review, in silico, and ultrastructure investigation (13.0 cites)
3. Vanadate-induced renal cAMP and malondialdehyde accumulation suppresses alpha 1 sodium potassium adenosine triphosphatase protein levels (5.0 cites)"
1081,Wiley-Blackwell Publishing Ltd,6,43.0,7.166666666666667,"1. Periostin plays role in force-induced stem cell potential by periodontal ligament stem cells (17.0 cites)
2. Factors associated with self-management among Vietnamese adults with type 2 diabetes (12.0 cites)
3. Vibration activates the actin/NF-κB axis and upregulates IL-6 and IL-8 expression in human periodontal ligament cells (9.0 cites)"
248,College of Public Health Sciences,14,43.0,3.0714285714285716,"1. The effects of an educational program on knowledge, attitudes and intentions regarding condom and emergency contraceptive pill use among thai female university students (8.0 cites)
2. Patients’ attitude toward diabetes mellitus screening in Thai dental clinics (5.0 cites)
3. Assessment of ambient dust pollution status at selected point sources (Residential and commercial) of Mingaladon area, Yangon region, Myanmar (5.0 cites)"
626,Korean Institute of Industrial Engineers,3,43.0,14.333333333333334,"1. Corporate entrepreneurship and business performance of logistic companies in Indonesia (40.0 cites)
2. Green supply chain management practices in SME manufacturers: Key drivers and organizational performance (3.0 cites)
3. Effects of gender, laterality, reaching location, and body posture on the maximum reach of elders (0.0 cites)"
565,Japan Society for Bioscience Biotechnology and Agrochemistry,2,42.0,21.0,"1. A curcumin-diglutaric acid conjugated prodrug with improved water solubility and antinociceptive properties compared to curcumin (34.0 cites)
2. Engineering of Corynebacterium glutamicum as a prototrophic pyruvate-producing strain: Characterization of a ramA-deficient mutant and its application for metabolic engineering (8.0 cites)"
120,Associacao Brasileira de Psiquiatria,4,41.0,10.25,"1. Psychometric properties of the modified Yale food addiction scale 2.0 in a large Brazilian sample (25.0 cites)
2. Lowered serum cesium levels in schizophrenia: Association with immune-inflammatory biomarkers and cognitive impairments (6.0 cites)
3. Personality disorder and functioning in major depressive disorder: A nested study within a randomized controlled trial (6.0 cites)"
553,Japan Concrete Institute,3,41.0,13.666666666666666,"1. Ductility of concrete beams reinforced with both fiber-reinforced polymer and steel tension bars (19.0 cites)
2. Prediction of shear contribution for the frp strengthening systems in rc beams: A simple bonding-based approach (12.0 cites)
3. Simulation of concrete beams strengthened by embedded through-section steel and gfrp bars with newly developed bond model (10.0 cites)"
794,Penerbit Universiti Kebangsaan Malaysia,16,40.0,2.5,"1. Current progress in production of flavonoids using systems and synthetic biology platforms (10.0 cites)
2. Chemical surface analysis on post-thermal treatment of the k-OMS-2 catalysts and catalytic oxidation efficiency at low temperature (8.0 cites)
3. Applicability of iron (III) Trimesic (Fe-BTC) to enhance lignin separation from pulp and paper wastewater (7.0 cites)"
845,Research Journal of Pharmacy and Technology,5,40.0,8.0,"1. Therapeutic effect of okra (Abelmoschus esculentus moench) pods extract on streptozotocin-induced type-2 diabetic mice (35.0 cites)
2. Antioxidant potency of Okra (Abelmoschus esculentus moench) pods extract on SOD level and tissue glucose tolerance in diabetic mice (5.0 cites)
3. In vitro Evaluation of Antibacterial, Antioxidant, and Anticancer properties of Panchagavya (0.0 cites)"
885,Science Press,10,40.0,4.0,"1. Performance of geosynthetic cementitious composite mat and vetiver on soil erosion control (14.0 cites)
2. Failure analysis on a heavy rainfall-induced landslide in Huay Khab Mountain in Northern Thailand (14.0 cites)
3. The rate of patients at high risk for cardiovascular disease with an optimal low-density cholesterol level: A multicenter study from Thailand (3.0 cites)"
734,Museum National d'Histoire Naturelle,6,40.0,6.666666666666667,"1. A revision of dragon millipedes II: The new genus nagaxytes gen. nov., with the description of three new species (diplopoda, polydesmida, paradoxosomatidae) (10.0 cites)
2. A taxonomic revision of Globba subsect. Nudae (Zingiberaceae) (9.0 cites)
3. Land snail genus Sarika Godwin-Austen, 1907 (Eupulmonata: Ariophantidae) from Cambodia, with description of three new species (8.0 cites)"
1035,University of Benin,7,39.0,5.571428571428571,"1. Probiotics in human mental health and diseases-A minireview (18.0 cites)
2. Anticancer activity of okra raw polysaccharides extracts against human liver cancer cells (14.0 cites)
3. Bergenin from Cissus javana DC. (Vitaceae) root extract enhances glucose uptake by rat L6 myotubes (4.0 cites)"
182,Brill Academic Publishers,9,39.0,4.333333333333333,"1. Integrative systematics reveals the new land-snail genus Taphrenalla (Eupulmonata: Ariophantidae) with a description of nine new species from Thailand (13.0 cites)
2. Reassessment and systematic position of the sinistral snails of genus Hemiplecta from Thailand (Eupulmonata: Ariophantidae), with description of two new species (11.0 cites)
3. Prevalence of tool behaviour is associated with pelage phenotype in intraspecific hybrid long-tailed macaques (Macaca fascicularis aurea × M. f. fascicularis) (9.0 cites)"
608,Korea Distribution Science Association (KODISA),6,39.0,6.5,"1. Customer Engagement with Digital Social Responsibility in Social Media: A Case Study of COVID-19 Situation in Thailand (14.0 cites)
2. Diversification and performance of Sri Lankan banks (9.0 cites)
3. Determination of Factors in Cultural Dimensions and SERVQUAL Model Affecting the Corporate Image of Pharmacy Retail Stores (6.0 cites)"
732,Multidisciplinary Digital Publishing Institute (MDPI),79,38.0,0.4810126582278481,"1. The causal connection of natural resources and globalization with energy consumption in top Asian countries: evidence from a nonparametric causality-in-quantile approach (17.0 cites)
2. The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System (3.0 cites)
3. In Vitro and In Silico Study on the Molecular Encapsulation of α-Tocopherol in a Large-Ring Cyclodextrin (3.0 cites)"
869,SEAMEO TROPMED Network,29,37.0,1.2758620689655173,"1. Bat guano as the component of fertilizer or the health hazard? (7.0 cites)
2. Insecticidal activity of thai botanical extracts against development stages of german cockroach, blattella germanica (L.) (orthoptera: Blattellidae) (6.0 cites)
3. In vitro antibiotic synergy colistin-resistant Klebsiella pneumoniae (6.0 cites)"
674,Leibniz Research Centre for Working Environment and Human Factors,4,37.0,9.25,"1. Development of competitive lateral flow immunoassay coupled with silver enhancement for simple and sensitive salivary cortisol detection (21.0 cites)
2. Crocetin promotes angiogenesis in human endothelial cells through PI3K-Akt-eNOS signaling pathway (16.0 cites)
3. TOWARDS COMBATING ANTIBIOTIC RESISTANCE BY EXPLORING THE QUANTITATIVE STRUCTURE-ACTIVITY RELATIONSHIP OF NDM-1 INHIBITORS (0.0 cites)"
383,GEOMATE International Society,17,37.0,2.176470588235294,"1. Enhancement of methane production from alkaline pretreated poly (lactic acid) waste by the co-digestion process (9.0 cites)
2. The integration of human thermal comfort in an outdoor campus landscape in a tropical climate (7.0 cites)
3. The optimal method for building damage fragility curve development (4.0 cites)"
576,Japanese Society of Veterinary Science,11,37.0,3.3636363636363638,"1. Factors affecting estrus and ovulation time in weaned sows with induced ovulation by GnRH administration in different seasons (12.0 cites)
2. Induction of parturition by double administration of prostaglandin f2α in sows reduces the variation of gestation length without affecting the colostrum yield and piglet performance (12.0 cites)
3. Immunohistochemical localization of inhibin/activin subunits in adult asian elephant (Elephas maximus) testes (4.0 cites)"
983,Termedia Publishing House Ltd.,8,36.0,4.5,"1. Correlations between serum interleukin 6, serum soluble interleukin 6 receptor, and disease activity in systemic juvenile idiopathic arthritis patients treated with or without tocilizumab (12.0 cites)
2. Immune to happiness - inflammatory process indicators and depressive personality traits (12.0 cites)
3. Aldosterone nongenomically induces angiotensin II receptor dimerization in rat kidney: Role of mineralocorticoid receptor and NADPH oxidase (6.0 cites)"
652,Korean Society of Gastrointestinal Endoscopy,11,36.0,3.272727272727273,"1. Practical approaches for high-risk surgical patients with acute cholecystitis: The percutaneous approach versus endoscopic alternatives (10.0 cites)
2. Endoscopic transmural necrosectomy: Timing, indications, and methods (8.0 cites)
3. Real-time semantic segmentation of gastric intestinal metaplasia using a deep learning approach (4.0 cites)"
135,Assumption University,27,36.0,1.3333333333333333,"1. thai university student travel behavior: an extension of theory of planned behavior (7.0 cites)
2. Influence of designs following green assessment criteria on decision to buy houses in housing projects: THailand's ecovillage (5.0 cites)
3. A factor analysis of student' perceived service quality in higher education (4.0 cites)"
377,Frontiers Media SA,32,36.0,1.125,"1. Hybrid MDM-PDM Based Ro-FSO System for Broadband Services by Incorporating Donut Modes Under Diverse Weather Conditions (18.0 cites)
2. A Cost-Effective Photonic Radar Under Adverse Weather Conditions for Autonomous Vehicles by Incorporating a Frequency-Modulated Direct Detection Scheme (18.0 cites)
3. Paucity of Health Data in Africa: An Obstacle to Digital Health Implementation and Evidence-Based Practice (0.0 cites)"
820,Portland Press Ltd,4,35.0,8.75,"1. Increased susceptibility to dextran sulfate-induced mucositis of iron-overload β-thalassemia mice, another endogenous cause of septicemia in thalassemia (23.0 cites)
2. Modulated expression of the HIV-1 2LTR zinc finger efficiently interferes with the HIV integration process (5.0 cites)
3. Crystal structure of dimeric Synechococcus spermidine synthase with bound polyamine substrate and product (4.0 cites)"
398,Geological Society of London,4,35.0,8.75,"1. Factors controlling the release of metals and a metalloid from the tailings of a gold mine in Thailand (19.0 cites)
2. Cenozoic tectonic evolution of southeastern thailand derived from low-temperature thermochronology (7.0 cites)
3. Sand injection and polygonal faulting in the great south basin, new zealand (5.0 cites)"
496,International Association for Food Protection,6,35.0,5.833333333333333,"1. Survival of Salmonella in various wild animal feces that may contaminate produce (10.0 cites)
2. Shortwave near-infrared spectroscopy for rapid detection of aflatoxin B1 contamination in polished rice (10.0 cites)
3. Postmarket laboratory surveillance for forbidden substances in halal-certified foods in Thailand (6.0 cites)"
91,American Society of Mechanical Engineers (ASME),2,35.0,17.5,"1. A review on the performance, combustion, and emission characteristics of spark-ignition engine fueled with 2,5-dimethylfuran compared to ethanol and gasoline (31.0 cites)
2. Drift-Flux Correlation of Oil-Water Flow in Horizontal Channels (4.0 cites)"
263,Czestochowa University of Technology,5,35.0,7.0,"1. Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu (15.0 cites)
2. Servant leadership: An empirical study of indonesian managers across different ethnic groups Służebne przywództwo: Badanie empiryczne indonezyjskich menedżerów w różnych grupach etnicznych (9.0 cites)
3. Improving transportation contract management using simulation Poprawa zarządzania umowami transportowymi z wykorzystaniem symulacji (7.0 cites)"
930,Society of Petroleum Engineers (SPE),2,34.0,17.0,"1. A comprehensive review of smart/intelligent oilfield technologies and applications in the oil and gas industry (32.0 cites)
2. A new decline curve analysis method for layered reservoirs (2.0 cites)"
44,"American Academy of Allergy, Asthma and Immunology",5,34.0,6.8,"1. Analysis of HLA-B Allelic Variation and IFN-γ ELISpot Responses in Patients with Severe Cutaneous Adverse Reactions Associated with Drugs (27.0 cites)
2. Prevalence and risk associated with asthma in children hospitalized with SARS-CoV-2: a meta-analysis and systematic review (4.0 cites)
3. Incidence of Anti-Drug Antibodies to Monoclonal Antibodies in Asthma: A Systematic Review and Meta-Analysis (2.0 cites)"
274,Desalination Publications,9,34.0,3.7777777777777777,"1. Adsorption of acid blue 25 from aqueous solution using zeolite and surfactant modified zeolite (16.0 cites)
2. Oxidation–adsorption of arsenite contaminated water over ceria nanorods (6.0 cites)
3. Effect of cetyltrimethylammonium bromide on the biosorption of acid blue 25 onto bengal gram fruit shell (4.0 cites)"
234,Chulalongkorn University - Environmental Research Institute,23,34.0,1.4782608695652173,"1. Perception and behavioral changes of thai youths towards the plastic bag charging program (10.0 cites)
2. Potential degradation and kinetics of melanoidin by using laccase from white rot fungus (6.0 cites)
3. Updated basis knowledge of climate change summarized from the first part of Thailand’s second assessment report on climate change (5.0 cites)"
199,Carl Hanser Verlag,10,34.0,3.4,"1. Low heat input welding of nickel superalloy GTD-111 with Inconel 625 filler metal (11.0 cites)
2. Effect of rhenium and cobalt additions on the microstructure and gamma prime phase stability of vacuum arc melted modified nickel-based superalloys grade MGA 1400 (9.0 cites)
3. Wear resistance of laser cladded Stellite 31 coating on AISI 316L steel (5.0 cites)"
260,Current Science Inc.,1,33.0,33.0,1. Immunohistochemistry Innovations for Diagnosis and Tissue-Based Biomarker Detection (33.0 cites)
355,FASEB,2,33.0,16.5,"1. OC-STAMP promotes osteoclast fusion for pathogenic bone resorption in periodontitis via up-regulation of permissive fusogen CD9 (25.0 cites)
2. Reduction in replication-independent endogenous DNA double-strand breaks promotes genomic instability during chronological aging in yeast (8.0 cites)"
93,American Society of Neuroradiology,2,32.0,16.0,"1. Ensemble of convolutional neural networks improves automated segmentation of acute ischemic lesions using multiparametric diffusion-weighted MRI (32.0 cites)
2. Immune checkpoint inhibitor: An emerging treatment for head and neck cancer. a primer for the radiologist (0.0 cites)"
90,American Society of Interventional Pain Physicians,3,32.0,10.666666666666666,"1. The novel costotransverse foramen block technique: Distribution characteristics of injectate compared with erector spinae plane block (32.0 cites)
2. In Response (0.0 cites)
3. In response (0.0 cites)"
235,Chulalongkorn University - Faculty of Architecture,32,32.0,1.0,"1. Applying the historic urban landscape approach to the identification of urban heritage attributes of Bangkok's old town (5.0 cites)
2. Master planning for conservation and development of krung rattanakosin 2032 (5.0 cites)
3. Housing conditions and improvement guidelines for the elderly living in urban areas: Case studies of four Bangkok's districts (3.0 cites)"
306,Edizioni Minerva Medica,5,32.0,6.4,"1. A comprehensive person-centered approach to adult spastic paresis: A consensus-based framework (29.0 cites)
2. Association between depression and increased risk of readmission in patients with heart failure: A systematic review and meta-analysis (2.0 cites)
3. Predicting AKI: Do we have the necessary tools? (1.0 cites)"
343,Eurasian Society of Educational Research,1,32.0,32.0,1. Approaching problem-solving skills of momentum and impulse phenomena using context and problem-based learning (32.0 cites)
261,Czech Academy of Agricultural Sciences,3,32.0,10.666666666666666,"1. Fuzzy AHP for drought risk assessment in lam Ta Kong watershed, the north-eastern region of Thailand (23.0 cites)
2. A simplified superovulation protocol using splitsingle administration of Folltropin®-V in hyaluronan: Application to purebred sheep (7.0 cites)
3. Use of an automatic needle-free injection device for foot-and-mouth disease vaccination in dairy heifers (2.0 cites)"
980,Techno-Press,8,32.0,4.0,"1. Mechanical properties and microstructures of stabilised dredged expansive soil from coal mine (24.0 cites)
2. Nonlinear flexibility based beam element on Winkler Pasternak foundation (4.0 cites)
3. Assessment of shear resistance of corroded beams repaired using SFRC in the tension zone (4.0 cites)"
1068,Via Medica,17,31.0,1.8235294117647058,"1. Age-related structural-mechanical property changes in human peroneus longus muscle (5.0 cites)
2. Co-existence of the double inferior vena cava with complex interiliac venous communication and aberrant common hepatic artery arising from superior mesenteric artery: A case report (5.0 cites)
3. Surface localisation of master knot of Henr in situ and ex vivo length of flexor hallucis longus tendon: Pertinent data for tendon harvesting and transfer (4.0 cites)"
950,Springer Singapore,18,31.0,1.7222222222222223,"1. Carbon nanostructure-based materials: A novel tool for detection of alzheimer’s disease (13.0 cites)
2. Qualitative Consumer and Marketing Research: The Asian Perspectives and Practices (11.0 cites)
3. Global Market and Field Studies of Arsenic Accumulation in Rice (4.0 cites)"
877,"School of Liberal Arts, King Mongkut's University of Technology Thonburi",19,31.0,1.631578947368421,"1. A Corpus-Based Study of English Synonyms: Chance and Opportunity (11.0 cites)
2. An Analysis of Grammatical Errors Made by Thai EFL University Students in an EAP writing Class: Issues and Recommendations (8.0 cites)
3. A Corpus-based Study of Thai and English Quantity Word Equivalents: Lǎay, Several and Many (4.0 cites)"
126,Association for Dental Sciences of the Republic of China,9,31.0,3.4444444444444446,"1. Acemannan increased bone surface, bone volume, and bone density in a calvarial defect model in skeletally-mature rats (18.0 cites)
2. Optimal concentration of potassium iodide to reduce the black staining of silver diamine fluoride (7.0 cites)
3. Acemannan induces rapid early osseous defect healing after apical surgery: A 12-month follow-up of a randomized controlled trial (3.0 cites)"
801,Pharmaceutical Society of Japan,6,30.0,5.0,"1. Exploring novel cocrystalline forms of oxyresveratrol to enhance aqueous solubility and permeability across a cell monolayer (20.0 cites)
2. Candidone inhibits migration and invasion, and induces apoptosis in HepG2 cells (4.0 cites)
3. Measurement of the Water Content in Semi-solid Formulations Used to Treat Pressure Ulcers and Evaluation of Their Water Absorption Characteristics (3.0 cites)"
1030,Universiti Teknikal Malaysia Melaka,5,29.0,5.8,"1. Adoption of E-hailing applications: A comparative study between female and male users in Thailan (19.0 cites)
2. Predicting consumer intention to adopt near field communication enabled mobile payment in Thailand (6.0 cites)
3. Predicting intention to purchase digital stickers in an application for instant communications on mobile devices: A comparative study (3.0 cites)"
391,Gemmological Association of Great Britain,1,29.0,29.0,"1. Blue zircon from Ratanakiri, Cambodia (29.0 cites)"
